trade_id,symbol,symbol_name,strategy_name,entry_time,exit_time,entry_price,exit_price,shares,investment_amount,pnl_amount,pnl_pct,commission,holding_bars,holding_days,exit_reason,risk_reward_ratio,notes,tags
T-3DD7C29D,4477.T,BASE,HighWin_TripleConfluence,2026-02-26 09:00,2026-03-02 10:00,309.15,308.85,323,99856.9,-99.81,-0.1,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-42987D20,4477.T,BASE,HighWin_TripleConfluence,2026-03-09 14:00,2026-03-11 15:00,311.16,322.84,321,99880.92,3750.24,3.75,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-5B294845,4477.T,BASE,HighWin_TripleConfluence,2026-03-27 12:00,2026-03-30 09:00,288.14,280.8,347,99985.97,-2548.39,-2.55,0.0,4,0.8,STOP_LOSS,2.4,BASE 1h足トレード (保有4本),#HighWin_TripleConfluence #STOP_LOSS
T-54DFEB7A,4477.T,BASE,HighWin_TripleConfluence,2026-04-01 12:00,2026-04-03 13:00,289.14,288.86,345,99754.85,-99.7,-0.1,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-C1AE617E,4477.T,BASE,HighWin_TripleConfluence,2026-04-06 11:00,2026-04-08 12:00,292.15,304.85,342,99913.93,4343.91,4.35,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-15036B6E,4477.T,BASE,HighWin_TripleConfluence,2026-04-15 12:00,2026-04-17 13:00,302.15,303.85,330,99709.83,560.01,0.56,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-457A0013,4477.T,BASE,HighWin_TripleConfluence,2026-05-08 10:00,2026-05-12 11:00,290.14,283.86,344,99809.88,-2162.73,-2.17,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-34B050C8,4477.T,BASE,HighWin_TripleConfluence,2026-05-21 13:00,2026-05-25 14:00,267.13,268.87,374,99907.93,647.77,0.65,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-F672F729,4477.T,BASE,HighWin_TripleConfluence,2026-05-27 12:00,2026-05-29 13:00,270.13,271.86,370,99949.95,639.73,0.64,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-A8C6D633,4477.T,BASE,HighWin_TripleConfluence,2026-06-04 10:00,2026-06-08 10:00,271.14,264.22,368,99777.86,-2543.09,-2.55,0.0,14,2.8,STOP_LOSS,2.4,BASE 1h足トレード (保有14本),#HighWin_TripleConfluence #STOP_LOSS
T-8F1D57CA,4477.T,BASE,HighWin_TripleConfluence,2026-06-16 11:00,2026-06-18 12:00,264.13,264.87,378,99841.9,278.02,0.28,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-E7C67F85,4477.T,BASE,HighWin_TripleConfluence,2026-06-22 12:00,2026-06-24 11:00,266.13,259.35,375,99799.88,-2543.65,-2.55,0.0,13,2.6,STOP_LOSS,2.4,BASE 1h足トレード (保有13本),#HighWin_TripleConfluence #STOP_LOSS
T-1FFA4414,4477.T,BASE,HighWin_TripleConfluence,2026-06-29 14:00,2026-07-01 15:00,262.13,273.86,381,99871.91,4469.89,4.48,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-E40D22F7,4477.T,BASE,HighWin_TripleConfluence,2026-07-10 12:00,2026-07-14 13:00,294.15,298.85,339,99715.83,1594.49,1.6,0.0,15,3.0,TIMEOUT,2.4,BASE 1h足トレード (保有15本),#HighWin_TripleConfluence #TIMEOUT
T-114A83DB,4477.T,BASE,HighWin_TripleConfluence,2026-07-14 15:00,2026-07-15 15:00,301.15,319.06,332,99981.97,5945.93,5.95,0.0,7,1.4,TAKE_PROFIT,2.4,BASE 1h足トレード (保有7本),#HighWin_TripleConfluence #TAKE_PROFIT
T-1794D2AB,4477.T,BASE,HighWin_TripleConfluence,2026-07-30 14:00,2026-08-03 09:00,306.15,298.35,326,99805.88,-2543.8,-2.55,0.0,9,1.8,STOP_LOSS,2.4,BASE 1h足トレード (保有9本),#HighWin_TripleConfluence #STOP_LOSS
T-DEA5837F,4477.T,BASE,HighWin_TripleConfluence,2026-08-04 09:00,2026-08-06 09:00,307.15,299.32,325,99824.89,-2544.29,-2.55,0.0,14,2.8,STOP_LOSS,2.4,BASE 1h足トレード (保有14本),#HighWin_TripleConfluence #STOP_LOSS
