trade_id,symbol,symbol_name,strategy_name,entry_time,exit_time,entry_price,exit_price,shares,investment_amount,pnl_amount,pnl_pct,commission,holding_bars,holding_days,exit_reason,risk_reward_ratio,notes,tags
T-D375CB93,4477.T,BASE,Momentum_Breakout,2026-03-10 10:00,2026-03-12 11:00,319.16,312.84,313,99896.92,-1976.91,-1.98,0.0,15,3.0,TIMEOUT,3.0,BASE 1h足トレード (保有15本),#Momentum_Breakout #TIMEOUT
T-D29B76FB,4477.T,BASE,Momentum_Breakout,2026-04-08 11:00,2026-04-10 09:00,304.15,296.4,328,99761.86,-2542.68,-2.55,0.0,12,2.4,STOP_LOSS,3.0,BASE 1h足トレード (保有12本),#Momentum_Breakout #STOP_LOSS
T-275051F5,4477.T,BASE,Momentum_Breakout,2026-04-15 10:00,2026-04-17 11:00,301.15,306.85,332,99981.97,1891.07,1.89,0.0,15,3.0,TIMEOUT,3.0,BASE 1h足トレード (保有15本),#Momentum_Breakout #TIMEOUT
T-E78198BE,4477.T,BASE,Momentum_Breakout,2026-05-08 12:00,2026-05-12 13:00,291.15,283.72,343,99862.91,-2545.26,-2.55,0.0,15,3.0,STOP_LOSS,3.0,BASE 1h足トレード (保有15本),#Momentum_Breakout #STOP_LOSS
T-A9FE6B5C,4477.T,BASE,Momentum_Breakout,2026-05-29 10:00,2026-06-01 09:00,276.14,269.1,362,99961.96,-2547.78,-2.55,0.0,6,1.2,STOP_LOSS,3.0,BASE 1h足トレード (保有6本),#Momentum_Breakout #STOP_LOSS
T-53D1253C,4477.T,BASE,Momentum_Breakout,2026-06-05 13:00,2026-06-08 09:00,275.14,268.12,363,99874.91,-2545.56,-2.55,0.0,3,0.6,STOP_LOSS,3.0,BASE 1h足トレード (保有3本),#Momentum_Breakout #STOP_LOSS
T-2DF8F54D,4477.T,BASE,Momentum_Breakout,2026-06-17 10:00,2026-06-19 10:00,270.13,263.25,370,99949.95,-2547.47,-2.55,0.0,14,2.8,STOP_LOSS,3.0,BASE 1h足トレード (保有14本),#Momentum_Breakout #STOP_LOSS
T-205372C1,4477.T,BASE,Momentum_Breakout,2026-07-06 14:00,2026-07-08 15:00,288.14,287.86,347,99985.97,-99.94,-0.1,0.0,15,3.0,TIMEOUT,3.0,BASE 1h足トレード (保有15本),#Momentum_Breakout #TIMEOUT
T-E100F5BE,4477.T,BASE,Momentum_Breakout,2026-07-14 12:00,2026-07-16 09:00,301.15,323.57,332,99981.97,7444.91,7.45,0.0,11,2.2,TAKE_PROFIT,3.0,BASE 1h足トレード (保有11本),#Momentum_Breakout #TAKE_PROFIT
T-64F7C8EA,4477.T,BASE,Momentum_Breakout,2026-08-18 14:00,2026-08-20 15:00,304.15,309.85,328,99761.86,1867.3,1.87,0.0,15,3.0,TIMEOUT,3.0,BASE 1h足トレード (保有15本),#Momentum_Breakout #TIMEOUT
T-1D30E4BF,4477.T,BASE,Momentum_Breakout,2026-08-20 15:00,2026-08-25 09:00,310.15,310.84,322,99869.91,222.02,0.22,0.0,15,3.0,TIMEOUT,3.0,BASE 1h足トレード (保有15本),#Momentum_Breakout #TIMEOUT
T-6E4EC61A,4477.T,BASE,Momentum_Breakout,2026-08-28 11:00,2026-08-31 09:00,317.16,340.77,315,99904.93,7439.17,7.45,0.0,5,1.0,TAKE_PROFIT,3.0,BASE 1h足トレード (保有5本),#Momentum_Breakout #TAKE_PROFIT
